Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
commons-io,org.apache.commons.io.build,AbstractOrigin,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractSupplier
commons-io,org.apache.commons.io.build,AbstractOrigin.ByteArrayOrigin,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
commons-io,org.apache.commons.io.build,AbstractOrigin.ByteArrayOrigin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-io,org.apache.commons.io.build,AbstractOrigin.CharSequenceOrigin,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
commons-io,org.apache.commons.io.build,AbstractOrigin.CharSequenceOrigin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-io,org.apache.commons.io.build,AbstractOrigin.FileOrigin,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
commons-io,org.apache.commons.io.build,AbstractOrigin.FileOrigin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-io,org.apache.commons.io.build,AbstractOrigin.InputStreamOrigin,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
commons-io,org.apache.commons.io.build,AbstractOrigin.InputStreamOrigin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-io,org.apache.commons.io.build,AbstractOrigin.OutputStreamOrigin,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
commons-io,org.apache.commons.io.build,AbstractOrigin.OutputStreamOrigin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-io,org.apache.commons.io.build,AbstractOrigin.PathOrigin,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
commons-io,org.apache.commons.io.build,AbstractOrigin.PathOrigin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-io,org.apache.commons.io.build,AbstractOrigin.ReaderOrigin,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
commons-io,org.apache.commons.io.build,AbstractOrigin.ReaderOrigin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-io,org.apache.commons.io.build,AbstractOrigin.URIOrigin,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
commons-io,org.apache.commons.io.build,AbstractOrigin.URIOrigin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-io,org.apache.commons.io.build,AbstractOrigin.WriterOrigin,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
commons-io,org.apache.commons.io.build,AbstractOrigin.WriterOrigin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractSupplier
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractOriginSupplier
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: AbstractStreamBuilderTest.Builder; AutoCloseInputStream.Builder; BOMInputStream.Builder; BufferedFileChannelInputStream.Builder; CharSequenceInputStream.Builder; MemoryMappedFileInputStream.Builder; MessageDigestCalculatingInputStream.Builder; QueueInputStream.Builder; RandomAccessFileInputStream.Builder; ReadAheadInputStream.Builder; ReaderInputStream.Builder; ReversedLinesFileReader.Builder; Tailer.Builder; UncheckedBufferedReader.Builder; UncheckedFilterInputStream.Builder; UncheckedFilterReader.Builder; UnsynchronizedBufferedInputStream.Builder; UnsynchronizedByteArrayInputStream.Builder; UnsynchronizedFilterInputStream.Builder; XmlStreamReader.Builder; ChunkedOutputStream.Builder; DeferredFileOutputStream.Builder; FileWriterWithEncoding.Builder; LockableFileWriter.Builder; UncheckedFilterOutputStream.Builder; UncheckedFilterWriter.Builder; UnsynchronizedByteArrayOutputStream.Builder; WriterOutputStream.Builder; XmlStreamWriter.Builder
commons-io,org.apache.commons.io.build,AbstractStreamBuilderTest.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
commons-io,org.apache.commons.io.build,AbstractStreamBuilderTest.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-io,org.apache.commons.io.build,FileOriginTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-io,org.apache.commons.io.build,FileOriginTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractOriginTest
commons-io,org.apache.commons.io.build,PathOriginTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-io,org.apache.commons.io.build,PathOriginTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractOriginTest
commons-io,org.apache.commons.io.build,URIOriginTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-io,org.apache.commons.io.build,URIOriginTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractOriginTest
commons-io,org.apache.commons.io,ByteOrderMark,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; UTF_8; UTF_16BE; UTF_16LE; UTF_32BE; UTF_32LE; UTF_BOM; charsetName; bytes
commons-io,org.apache.commons.io,Charsets,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: STANDARD_CHARSET_MAP; ISO_8859_1; US_ASCII; UTF_16; UTF_16BE; UTF_16LE; UTF_8
commons-io,org.apache.commons.io,CloseableURLConnection,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 45 public methods
commons-io,org.apache.commons.io,DirectoryWalker.CancelException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID; file; depth
commons-io,org.apache.commons.io,DirectoryWalker.CancelException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-io,org.apache.commons.io,EndianUtils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 30 public methods
commons-io,org.apache.commons.io,FileCleaningTracker.Reaper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
commons-io,org.apache.commons.io,FileCleaningTracker.Reaper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-io,org.apache.commons.io,FileCleaningTracker.Tracker,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: path; deleteStrategy
commons-io,org.apache.commons.io,FileCleaningTracker.Tracker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-io,org.apache.commons.io,FileDeleteStrategy,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NORMAL; FORCE; name
commons-io,org.apache.commons.io,FileDeleteStrategy.ForceFileDeleteStrategy,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
commons-io,org.apache.commons.io,FileDeleteStrategy.ForceFileDeleteStrategy,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-io,org.apache.commons.io,FilenameUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EMPTY_STRING_ARRAY; EMPTY_STRING; NOT_FOUND; EXTENSION_SEPARATOR; EXTENSION_SEPARATOR_STR; UNIX_NAME_SEPARATOR; WINDOWS_NAME_SEPARATOR; SYSTEM_NAME_SEPARATOR; OTHER_SEPARATOR; IPV4_PATTERN; IPV4_MAX_OCTET_VALUE; IPV6_MAX_HEX_GROUPS; IPV6_MAX_HEX_DIGITS_PER_GROUP; MAX_UNSIGNED_SHORT; BASE_16; REG_NAME_PART_PATTERN
