Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
commons-io,org.apache.commons.io.build,AbstractOrigin,AbstractOrigin,3,1,1,382,0,,
commons-io,org.apache.commons.io.build,AbstractOrigin,get,3,1,0,391,0,,
commons-io,org.apache.commons.io.build,AbstractOrigin,getByteArray,3,1,0,401,0,org.apache.commons.io.build.AbstractOrigin,org.apache.commons.io.build.AbstractOrigin
commons-io,org.apache.commons.io.build,AbstractOrigin,getByteArray,8,2,2,412,0,org.apache.commons.io.build.AbstractOrigin,org.apache.commons.io.build.AbstractOrigin
commons-io,org.apache.commons.io.build,AbstractOrigin,getCharSequence,3,1,1,433,0,org.apache.commons.io.build.AbstractOrigin,org.apache.commons.io.build.AbstractOrigin
commons-io,org.apache.commons.io.build,AbstractOrigin,getFile,3,1,0,445,0,,
commons-io,org.apache.commons.io.build,AbstractOrigin,getInputStream,3,1,1,456,0,org.apache.commons.io.build.AbstractOrigin,org.apache.commons.io.build.AbstractOrigin
commons-io,org.apache.commons.io.build,AbstractOrigin,getOutputStream,3,1,1,468,0,org.apache.commons.io.build.AbstractOrigin,org.apache.commons.io.build.AbstractOrigin
commons-io,org.apache.commons.io.build,AbstractOrigin,getPath,3,1,0,480,0,,
commons-io,org.apache.commons.io.build,AbstractOrigin,getReader,3,1,1,491,0,org.apache.commons.io.build.AbstractOrigin,org.apache.commons.io.build.AbstractOrigin
commons-io,org.apache.commons.io.build,AbstractOrigin,getWriter,3,1,2,502,0,org.apache.commons.io.build.AbstractOrigin,org.apache.commons.io.build.AbstractOrigin
commons-io,org.apache.commons.io.build,AbstractOrigin,size,3,1,0,515,0,org.apache.commons.io.build.AbstractOrigin,org.apache.commons.io.build.AbstractOrigin
commons-io,org.apache.commons.io.build,AbstractOrigin,toString,3,1,0,526,0,,
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,newByteArrayOrigin,3,1,1,48,0,,
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,newCharSequenceOrigin,3,1,1,58,0,,
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,newFileOrigin,3,1,1,69,0,,
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,newFileOrigin,3,1,1,79,0,,
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,newInputStreamOrigin,3,1,1,89,0,,
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,newOutputStreamOrigin,3,1,1,99,0,,
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,newPathOrigin,3,1,1,109,0,,
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,newPathOrigin,3,1,1,119,0,,
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,newReaderOrigin,3,1,1,129,0,,
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,newURIOrigin,3,1,1,139,0,,
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,newWriterOrigin,3,1,1,149,0,,
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,checkOrigin,6,2,0,164,0,,
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,getOrigin,3,1,0,177,0,,
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,hasOrigin,3,1,0,186,0,,
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,setByteArray,3,1,1,195,0,org.apache.commons.io.build.AbstractOriginSupplier,org.apache.commons.io.build.AbstractOriginSupplier
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,setCharSequence,3,1,1,205,0,org.apache.commons.io.build.AbstractOriginSupplier,org.apache.commons.io.build.AbstractOriginSupplier
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,setFile,3,1,1,216,0,org.apache.commons.io.build.AbstractOriginSupplier,org.apache.commons.io.build.AbstractOriginSupplier
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,setFile,3,1,1,226,0,org.apache.commons.io.build.AbstractOriginSupplier,org.apache.commons.io.build.AbstractOriginSupplier
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,setInputStream,3,1,1,236,0,org.apache.commons.io.build.AbstractOriginSupplier,org.apache.commons.io.build.AbstractOriginSupplier
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,setOrigin,4,1,1,246,0,org.apache.commons.io.build.AbstractSupplier,org.apache.commons.io.build.AbstractSupplier
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,setOutputStream,3,1,1,257,0,org.apache.commons.io.build.AbstractOriginSupplier,org.apache.commons.io.build.AbstractOriginSupplier
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,setPath,3,1,1,267,0,org.apache.commons.io.build.AbstractOriginSupplier,org.apache.commons.io.build.AbstractOriginSupplier
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,setPath,3,1,1,277,0,org.apache.commons.io.build.AbstractOriginSupplier,org.apache.commons.io.build.AbstractOriginSupplier
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,setReader,3,1,1,287,0,org.apache.commons.io.build.AbstractOriginSupplier,org.apache.commons.io.build.AbstractOriginSupplier
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,setURI,3,1,1,297,0,org.apache.commons.io.build.AbstractOriginSupplier,org.apache.commons.io.build.AbstractOriginSupplier
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,setWriter,3,1,1,307,0,org.apache.commons.io.build.AbstractOriginSupplier,org.apache.commons.io.build.AbstractOriginSupplier
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,checkBufferSize,3,1,1,83,0,,
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,getBufferSize,3,1,0,93,0,,
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,getBufferSizeDefault,3,1,0,102,0,,
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,getCharSequence,3,1,0,111,0,org.apache.commons.io.build.AbstractStreamBuilder,org.apache.commons.io.build.AbstractStreamBuilder; org.apache.commons.io.build.AbstractOriginSupplier; org.apache.commons.io.build.AbstractOrigin
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,getCharset,3,1,0,125,0,,
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,getCharsetDefault,3,1,0,134,0,,
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,getInputStream,3,1,0,143,0,org.apache.commons.io.build.AbstractOriginSupplier,org.apache.commons.io.build.AbstractOriginSupplier; org.apache.commons.io.build.AbstractStreamBuilder
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,getOpenOptions,3,1,0,157,0,,
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,getOutputStream,3,1,0,161,0,org.apache.commons.io.build.AbstractOriginSupplier,org.apache.commons.io.build.AbstractOriginSupplier; org.apache.commons.io.build.AbstractStreamBuilder
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,getPath,3,1,0,175,0,org.apache.commons.io.build.AbstractOriginSupplier,org.apache.commons.io.build.AbstractOriginSupplier; org.apache.commons.io.build.AbstractOrigin
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,getWriter,3,1,0,188,0,org.apache.commons.io.build.AbstractStreamBuilder,org.apache.commons.io.build.AbstractStreamBuilder; org.apache.commons.io.build.AbstractOriginSupplier
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,setBufferSize,4,1,1,202,0,org.apache.commons.io.build.AbstractSupplier,org.apache.commons.io.build.AbstractSupplier; org.apache.commons.io.build.AbstractStreamBuilder
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,setBufferSize,4,1,1,216,0,org.apache.commons.io.build.AbstractStreamBuilder,org.apache.commons.io.build.AbstractStreamBuilder; org.apache.commons.io.build.AbstractSupplier
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,setBufferSizeChecker,4,1,1,230,0,org.apache.commons.io.build.AbstractSupplier,org.apache.commons.io.build.AbstractSupplier
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,setBufferSizeDefault,4,1,1,242,0,org.apache.commons.io.build.AbstractSupplier,org.apache.commons.io.build.AbstractSupplier
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,setBufferSizeMax,4,1,1,256,0,org.apache.commons.io.build.AbstractSupplier,org.apache.commons.io.build.AbstractSupplier
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,setCharset,4,1,1,269,0,org.apache.commons.io.build.AbstractSupplier,org.apache.commons.io.build.AbstractSupplier; org.apache.commons.io.Charsets
