Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
commons-io,org.apache.commons.io.build,AbstractOrigin.ByteArrayOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractOrigin.CharSequenceOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractOrigin.FileOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractOrigin.InputStreamOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractOrigin.OutputStreamOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractOrigin.PathOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractOrigin.ReaderOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractOrigin.URIOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractOrigin.WriterOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,Law of Demeter violation,The tool detected the smell in this method (getCharSequence) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.build.AbstractOrigin.getCharSequence; org.apache.commons.io.build.AbstractOriginSupplier.checkOrigin
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,Law of Demeter violation,The tool detected the smell in this method (getPath) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.build.AbstractOrigin.getPath; org.apache.commons.io.build.AbstractOriginSupplier.checkOrigin
commons-io,org.apache.commons.io.build,AbstractOriginTest,Law of Demeter violation,The tool detected the smell in this method (testGetByteArray) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.build.AbstractOrigin.getByteArray; org.apache.commons.io.build.AbstractOriginTest.getOriginRo
commons-io,org.apache.commons.io.build,AbstractOriginTest,Law of Demeter violation,The tool detected the smell in this method (testGetByteArrayAt_0_0) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.build.AbstractOrigin.getByteArray; org.apache.commons.io.build.AbstractOriginTest.getOriginRo
commons-io,org.apache.commons.io.build,AbstractOriginTest,Law of Demeter violation,The tool detected the smell in this method (testGetByteArrayAt_0_1) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.build.AbstractOrigin.getByteArray; org.apache.commons.io.build.AbstractOriginTest.getOriginRo
commons-io,org.apache.commons.io.build,AbstractOriginTest,Law of Demeter violation,The tool detected the smell in this method (testGetByteArrayAt_1_1) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.build.AbstractOrigin.getByteArray; org.apache.commons.io.build.AbstractOriginTest.getOriginRo
commons-io,org.apache.commons.io.build,AbstractOriginTest,Law of Demeter violation,The tool detected the smell in this method (testGetCharSequence) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.build.AbstractOrigin.getCharSequence; org.apache.commons.io.build.AbstractOriginTest.getOriginRo
commons-io,org.apache.commons.io.build,AbstractOriginTest,Law of Demeter violation,The tool detected the smell in this method (testGetFile) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.build.AbstractOrigin.getFile; org.apache.commons.io.build.AbstractOriginTest.getOriginRo
commons-io,org.apache.commons.io.build,AbstractOriginTest,Law of Demeter violation,The tool detected the smell in this method (testGetPath) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.build.AbstractOrigin.getPath; org.apache.commons.io.build.AbstractOriginTest.getOriginRo
commons-io,org.apache.commons.io.build,AbstractOriginTest,Law of Demeter violation,The tool detected the smell in this method (testGetReader) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.build.AbstractOrigin.getReader; org.apache.commons.io.build.AbstractOriginTest.getOriginRo
commons-io,org.apache.commons.io.build,AbstractOriginTest,Law of Demeter violation,The tool detected the smell in this method (testSize) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.io.build.AbstractOrigin.getByteArray; org.apache.commons.io.build.AbstractOriginTest.getOriginRo
