Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
commons-io,org.apache.commons.io.build,AbstractOrigin,1,0,13,12,327,14,9,2,0.0,4,1,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\build\AbstractOrigin.java,45
commons-io,org.apache.commons.io.build,AbstractOrigin.ByteArrayOrigin,0,0,0,0,24,0,0,3,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\build\AbstractOrigin.java,59
commons-io,org.apache.commons.io.build,AbstractOrigin.CharSequenceOrigin,0,0,0,0,27,0,0,3,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\build\AbstractOrigin.java,96
commons-io,org.apache.commons.io.build,AbstractOrigin.FileOrigin,0,0,0,0,23,0,0,3,-1.0,0,1,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\build\AbstractOrigin.java,142
commons-io,org.apache.commons.io.build,AbstractOrigin.InputStreamOrigin,0,0,0,0,21,0,0,3,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\build\AbstractOrigin.java,179
commons-io,org.apache.commons.io.build,AbstractOrigin.OutputStreamOrigin,0,0,0,0,18,0,0,3,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\build\AbstractOrigin.java,214
commons-io,org.apache.commons.io.build,AbstractOrigin.PathOrigin,0,0,0,0,23,0,0,3,-1.0,0,1,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\build\AbstractOrigin.java,243
commons-io,org.apache.commons.io.build,AbstractOrigin.ReaderOrigin,0,0,0,0,24,0,0,3,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\build\AbstractOrigin.java,280
commons-io,org.apache.commons.io.build,AbstractOrigin.URIOrigin,0,0,0,0,18,0,0,3,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\build\AbstractOrigin.java,321
commons-io,org.apache.commons.io.build,AbstractOrigin.WriterOrigin,0,0,0,0,18,0,0,3,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\build\AbstractOrigin.java,347
commons-io,org.apache.commons.io.build,AbstractOriginSupplier,1,0,26,11,224,27,1,2,0.0,0,1,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\build\AbstractOriginSupplier.java,39
commons-io,org.apache.commons.io.build,AbstractStreamBuilder,10,0,21,8,226,21,29,3,0.23809523809523808,0,3,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\build\AbstractStreamBuilder.java,33
commons-io,org.apache.commons.io.build,AbstractSupplier,0,0,1,0,15,1,3,1,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\build\AbstractSupplier.java,22
commons-io,org.apache.commons.io.build,AbstractOriginTest,5,0,16,12,68,16,9,0,0.125,0,1,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\test\java\org\apache\commons\io\build\AbstractOriginTest.java,35
commons-io,org.apache.commons.io.build,AbstractStreamBuilderTest,0,0,3,1,29,4,0,0,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\test\java\org\apache\commons\io\build\AbstractStreamBuilderTest.java,28
commons-io,org.apache.commons.io.build,AbstractStreamBuilderTest.Builder,0,0,0,0,7,0,0,4,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\test\java\org\apache\commons\io\build\AbstractStreamBuilderTest.java,33
commons-io,org.apache.commons.io.build,ByteArrayOriginTest,0,0,5,5,21,5,0,1,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\test\java\org\apache\commons\io\build\ByteArrayOriginTest.java,29
commons-io,org.apache.commons.io.build,CharSequenceOriginTest,0,0,5,5,21,5,0,1,-1.0,0,1,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\test\java\org\apache\commons\io\build\CharSequenceOriginTest.java,30
commons-io,org.apache.commons.io.build,FileOriginTest,0,0,1,1,9,1,0,1,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\test\java\org\apache\commons\io\build\FileOriginTest.java,24
commons-io,org.apache.commons.io.build,InputStreamOriginTest,0,0,5,5,21,5,0,1,-1.0,0,1,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\test\java\org\apache\commons\io\build\InputStreamOriginTest.java,30
commons-io,org.apache.commons.io.build,OutputStreamOriginTest,0,0,11,11,39,11,0,1,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\test\java\org\apache\commons\io\build\OutputStreamOriginTest.java,28
commons-io,org.apache.commons.io.build,PathOriginTest,0,0,1,1,9,1,0,1,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\test\java\org\apache\commons\io\build\PathOriginTest.java,25
commons-io,org.apache.commons.io.build,ReaderOriginTest,0,0,5,5,21,5,0,1,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\test\java\org\apache\commons\io\build\ReaderOriginTest.java,30
commons-io,org.apache.commons.io.build,URIOriginTest,0,0,1,1,9,1,0,1,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\test\java\org\apache\commons\io\build\URIOriginTest.java,25
commons-io,org.apache.commons.io.build,WriterStreamOriginTest,0,0,11,11,39,11,0,1,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\test\java\org\apache\commons\io\build\WriterStreamOriginTest.java,28
commons-io,org.apache.commons.io,ByteOrderMark,9,6,8,8,145,18,0,0,0.0,5,1,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\ByteOrderMark.java,24
commons-io,org.apache.commons.io,ByteOrderParser,0,0,2,1,26,4,0,0,-1.0,1,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\ByteOrderParser.java,22
commons-io,org.apache.commons.io,Charsets,7,6,5,5,101,5,0,0,1.0,14,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\Charsets.java,26
commons-io,org.apache.commons.io,CloseableURLConnection,1,0,48,45,151,48,0,0,0.0625,1,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\CloseableURLConnection.java,30
commons-io,org.apache.commons.io,CopyUtils,0,0,13,13,159,15,0,0,-1.0,2,1,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\CopyUtils.java,32
commons-io,org.apache.commons.io,DirectoryWalker,5,0,16,0,261,23,8,0,0.125,2,3,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\DirectoryWalker.java,31
commons-io,org.apache.commons.io,DirectoryWalker.CancelException,3,0,0,0,50,0,0,0,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\DirectoryWalker.java,257
commons-io,org.apache.commons.io,EndianUtils,0,0,31,30,322,33,0,0,-1.0,2,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\EndianUtils.java,26
commons-io,org.apache.commons.io,FileCleaner,1,0,7,7,74,7,0,0,0.0,1,2,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\FileCleaner.java,21
commons-io,org.apache.commons.io,FileCleaningTracker,7,0,10,9,199,13,0,0,0.3,3,1,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\FileCleaningTracker.java,30
commons-io,org.apache.commons.io,FileCleaningTracker.Reaper,0,0,0,0,31,0,0,0,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\FileCleaningTracker.java,50
commons-io,org.apache.commons.io,FileCleaningTracker.Tracker,2,0,0,0,39,0,0,0,-1.0,0,1,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\FileCleaningTracker.java,84
commons-io,org.apache.commons.io,FileDeleteStrategy,3,2,5,3,92,7,1,0,0.4,5,1,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\FileDeleteStrategy.java,22
commons-io,org.apache.commons.io,FileDeleteStrategy.ForceFileDeleteStrategy,0,0,0,0,22,0,0,1,-1.0,0,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\FileDeleteStrategy.java,37
commons-io,org.apache.commons.io,FileExistsException,1,0,3,3,29,3,0,0,1.0,2,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\FileExistsException.java,22
commons-io,org.apache.commons.io,FilenameUtils,16,2,48,33,927,167,0,0,0.10416666666666667,13,2,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\FilenameUtils.java,30
commons-io,org.apache.commons.io,FileSystem,16,0,0,0,319,0,0,0,-1.0,2,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\FileSystem.java,24
commons-io,org.apache.commons.io,FileSystemUtils,8,0,13,6,0,38,1,0,0.15384615384615385,1,3,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\FileSystemUtils.java,33
commons-io,org.apache.commons.io,FileUtils,15,15,159,135,2329,233,0,0,0.3584905660377358,43,13,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\FileUtils.java,86
commons-io,org.apache.commons.io,HexDump,3,1,6,4,120,16,0,0,0.5,1,1,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\HexDump.java,27
commons-io,org.apache.commons.io,IO,0,0,1,0,11,1,0,0,-1.0,1,1,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\IO.java,19
commons-io,org.apache.commons.io,IOCase,3,0,0,0,168,0,0,0,-1.0,20,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\IOCase.java,22
commons-io,org.apache.commons.io,IOExceptionList,2,0,11,8,85,12,0,0,0.0,8,0,C:\Users\kaila\Desktop\Assignment-3\.\commons-io\src\main\java\org\apache\commons\io\IOExceptionList.java,26
