Project Name,Package Name,Architecture Smell,Cause of the Smell
commons-io,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.0. All the dependencies among components: from: org.apache.commons.io.build to: org.apache.commons.io; from: org.apache.commons.io.build to: org.apache.commons.io.file; from: org.apache.commons.io.build to: org.apache.commons.io.input; from: org.apache.commons.io to: org.apache.commons.io.filefilter; from: org.apache.commons.io to: org.apache.commons.io.file; from: org.apache.commons.io to: org.apache.commons.io.function; from: org.apache.commons.io to: org.apache.commons.io.output; from: org.apache.commons.io to: org.apache.commons.io.input; from: org.apache.commons.io to: org.apache.commons.io.test; from: org.apache.commons.io to: org.apache.commons.io.file.attribute; from: org.apache.commons.io.comparator to: org.apache.commons.io; from: org.apache.commons.io.comparator to: org.apache.commons.io.test; from: org.apache.commons.io.file to: org.apache.commons.io.function; from: org.apache.commons.io.file to: org.apache.commons.io.filefilter; from: org.apache.commons.io.file to: org.apache.commons.io; from: org.apache.commons.io.file to: org.apache.commons.io.file.attribute; from: org.apache.commons.io.file to: org.apache.commons.io.input; from: org.apache.commons.io.file to: org.apache.commons.io.output; from: org.apache.commons.io.file to: org.apache.commons.io.test; from: org.apache.commons.io.filefilter to: org.apache.commons.io.function; from: org.apache.commons.io.filefilter to: org.apache.commons.io; from: org.apache.commons.io.filefilter to: org.apache.commons.io.file; from: org.apache.commons.io.filefilter to: org.apache.commons.io.test; from: org.apache.commons.io.function to: org.apache.commons.io; from: org.apache.commons.io.function to: org.apache.commons.io.file; from: org.apache.commons.io.input to: org.apache.commons.io; from: org.apache.commons.io.input to: org.apache.commons.io.function; from: org.apache.commons.io.input to: org.apache.commons.io.charset; from: org.apache.commons.io.input to: org.apache.commons.io.file.attribute; from: org.apache.commons.io.input to: org.apache.commons.io.file; from: org.apache.commons.io.input to: org.apache.commons.io.output; from: org.apache.commons.io.input to: org.apache.commons.io.test; from: org.apache.commons.io.input.buffer to: org.apache.commons.io; from: org.apache.commons.io.monitor to: org.apache.commons.io; from: org.apache.commons.io.monitor to: org.apache.commons.io.comparator; from: org.apache.commons.io.monitor to: org.apache.commons.io.file.attribute; from: org.apache.commons.io.monitor to: org.apache.commons.io.filefilter; from: org.apache.commons.io.monitor to: org.apache.commons.io.test; from: org.apache.commons.io.monitor to: org.apache.commons.io.file; from: org.apache.commons.io.output to: org.apache.commons.io; from: org.apache.commons.io.output to: org.apache.commons.io.input; from: org.apache.commons.io.output to: org.apache.commons.io.file; from: org.apache.commons.io.output to: org.apache.commons.io.function; from: org.apache.commons.io.output to: org.apache.commons.io.build; from: org.apache.commons.io.output to: org.apache.commons.io.charset; from: org.apache.commons.io.serialization to: org.apache.commons.io; from: org.apache.commons.io.input.compatibility to: org.apache.commons.io; from: org.apache.commons.io.jmh to: org.apache.commons.io; from: org.apache.commons.io.test to: org.apache.commons.io; from: org.apache.commons.io.test to: org.apache.commons.io.input; from: org.apache.commons.io.test to: org.apache.commons.io.output.
commons-io,org.apache.commons.io,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 95
commons-io,org.apache.commons.io,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.commons.io.filefilter; org.apache.commons.io.file; org.apache.commons.io.output; org.apache.commons.io.input; org.apache.commons.io.test
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.filefilter; org.apache.commons.io
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.file; org.apache.commons.io
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.function; org.apache.commons.io
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.output; org.apache.commons.io
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.input; org.apache.commons.io
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.test; org.apache.commons.io
commons-io,org.apache.commons.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.commons.io; org.apache.commons.io.output; org.apache.commons.io.build; org.apache.commons.io
