Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
commons-io,org.apache.commons.io.build,AbstractOrigin.ByteArrayOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractOrigin.CharSequenceOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractOrigin.FileOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractOrigin.InputStreamOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractOrigin.OutputStreamOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractOrigin.PathOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractOrigin.ReaderOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractOrigin.URIOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractOrigin.WriterOrigin,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io.build,AbstractStreamBuilderTest.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io,ByteOrderMark,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: UTF_8; UTF_16BE; UTF_16LE; UTF_32BE; UTF_32LE; UTF_BOM
commons-io,org.apache.commons.io,Charsets,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ISO_8859_1; US_ASCII; UTF_16; UTF_16BE; UTF_16LE; UTF_8
commons-io,org.apache.commons.io,DirectoryWalker.CancelException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-io,org.apache.commons.io,FileDeleteStrategy,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NORMAL; FORCE
commons-io,org.apache.commons.io,FilenameUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EXTENSION_SEPARATOR; EXTENSION_SEPARATOR_STR
commons-io,org.apache.commons.io,FileUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ONE_KB; ONE_KB_BI; ONE_MB; ONE_MB_BI; ONE_GB; ONE_GB_BI; ONE_TB; ONE_TB_BI; ONE_PB; ONE_PB_BI; ONE_EB; ONE_EB_BI; ONE_ZB; ONE_YB; EMPTY_FILE_ARRAY
commons-io,org.apache.commons.io,FileUtils,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
commons-io,org.apache.commons.io,HexDump,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EOL
commons-io,org.apache.commons.io,IOUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CR; DEFAULT_BUFFER_SIZE; DIR_SEPARATOR; DIR_SEPARATOR_UNIX; DIR_SEPARATOR_WINDOWS; EMPTY_BYTE_ARRAY; EOF; LF; LINE_SEPARATOR; LINE_SEPARATOR_UNIX; LINE_SEPARATOR_WINDOWS
commons-io,org.apache.commons.io,IOUtils,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
commons-io,org.apache.commons.io,FileUtilsTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
commons-io,org.apache.commons.io,IOUtilsTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
commons-io,org.apache.commons.io.comparator,DefaultFileComparator,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_COMPARATOR; DEFAULT_REVERSE
commons-io,org.apache.commons.io.comparator,DirectoryFileComparator,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DIRECTORY_COMPARATOR; DIRECTORY_REVERSE
commons-io,org.apache.commons.io.comparator,ExtensionFileComparator,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EXTENSION_COMPARATOR; EXTENSION_REVERSE; EXTENSION_INSENSITIVE_COMPARATOR; EXTENSION_INSENSITIVE_REVERSE; EXTENSION_SYSTEM_COMPARATOR; EXTENSION_SYSTEM_REVERSE
commons-io,org.apache.commons.io.comparator,LastModifiedFileComparator,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LASTMODIFIED_COMPARATOR; LASTMODIFIED_REVERSE
